ID,"Absolute URL","Relative Path",File,"Alt Text",Caption,Description,Title
4433,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2025/03/5_Sjalvfortroende-kq4mv8.mp3,/woocommerce_uploads/2025/03/5_Sjalvfortroende-kq4mv8.mp3,5_Sjalvfortroende-kq4mv8.mp3,,,”5_Självförtroende”.,5_Självförtroende
4295,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/04-Goal-image-training-itnvtd.mp3,/woocommerce_uploads/2024/02/04-Goal-image-training-itnvtd.mp3,04-Goal-image-training-itnvtd.mp3,,,"”Introduction to Mental Training, Pt. 4” från Introduction to Mental Training. Spår 4. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 4"
4294,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/03-Self-image-training-uwb3y9.mp3,/woocommerce_uploads/2024/02/03-Self-image-training-uwb3y9.mp3,03-Self-image-training-uwb3y9.mp3,,,"”Introduction to Mental Training, Pt. 3” från Introduction to Mental Training av Unestahl/ Gordin. Spår 3. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 3"
4293,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/2-Mental-Relaxation-nlurlv.mp3,/woocommerce_uploads/2024/02/2-Mental-Relaxation-nlurlv.mp3,2-Mental-Relaxation-nlurlv.mp3,,,"”Introduction to Mental Training, Pt. 1” från Introduction to Mental Training av Unestahl/ Gordin. Spår 1. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 1"
4292,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/1-Muscular-Relaxation-tkgzbe.mp3,/woocommerce_uploads/2024/02/1-Muscular-Relaxation-tkgzbe.mp3,1-Muscular-Relaxation-tkgzbe.mp3,,,"”Introduction to Mental Training, Pt. 2” från Introduction to Mental Training av Unestahl/ Gordin. Spår 2. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 2"
4170,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/02-Mental-Relaxation-wdftyt.mp3,/woocommerce_uploads/2024/02/02-Mental-Relaxation-wdftyt.mp3,02-Mental-Relaxation-wdftyt.mp3,,,"”Introduction to Mental Training, Pt. 2” från Introduction to Mental Training av Unestahl/ Gordin. Spår 2. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 2"
4169,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/04-Goal-image-training-ivmnlt.mp3,/woocommerce_uploads/2024/02/04-Goal-image-training-ivmnlt.mp3,04-Goal-image-training-ivmnlt.mp3,,,"”Introduction to Mental Training, Pt. 4” från Introduction to Mental Training. Spår 4. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 4"
4168,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/03-Self-image-training-kbhc9d.mp3,/woocommerce_uploads/2024/02/03-Self-image-training-kbhc9d.mp3,03-Self-image-training-kbhc9d.mp3,,,"”Introduction to Mental Training, Pt. 3” från Introduction to Mental Training av Unestahl/ Gordin. Spår 3. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 3"
4167,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/01-Muscular-Relaxation-igbqtj.mp3,/woocommerce_uploads/2024/02/01-Muscular-Relaxation-igbqtj.mp3,01-Muscular-Relaxation-igbqtj.mp3,,,"”Introduction to Mental Training, Pt. 1” från Introduction to Mental Training av Unestahl/ Gordin. Spår 1. Genre: Verschiedenes.","Introduction to Mental Training, Pt. 1"
4034,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/02-Going-to-sleep-ntvniy.mp3,/woocommerce_uploads/2024/02/02-Going-to-sleep-ntvniy.mp3,02-Going-to-sleep-ntvniy.mp3,,,"”Spår 2” från Okänt album (2015-06-26 09:34:19). Spår 2.","Spår 2"
4033,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/01-Sleep-training-rruvgc.mp3,/woocommerce_uploads/2024/02/01-Sleep-training-rruvgc.mp3,01-Sleep-training-rruvgc.mp3,,,"”Spår 1” från Okänt album (2015-06-26 09:34:19). Spår 1.","Spår 1"
3744,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/12/03-Forberedelse-infor-prestation-jqfpe3.mp3,/woocommerce_uploads/2024/12/03-Forberedelse-infor-prestation-jqfpe3.mp3,03-Forberedelse-infor-prestation-jqfpe3.mp3,,,"”Spår 3” från Okänt album (2013-10-17 09:26:15). Spår 3.","Spår 3"
3743,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/12/02-Problembearbetning-ssomu5.mp3,/woocommerce_uploads/2024/12/02-Problembearbetning-ssomu5.mp3,02-Problembearbetning-ssomu5.mp3,,,"”Spår 2” från Okänt album (2013-10-17 09:26:15). Spår 2.","Spår 2"
3742,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/12/01-Mental-Avslappning-Forberedelse-bwcvm3.mp3,/woocommerce_uploads/2024/12/01-Mental-Avslappning-Forberedelse-bwcvm3.mp3,01-Mental-Avslappning-Forberedelse-bwcvm3.mp3,,,"”Spår 1” från Okänt album (2013-10-17 09:26:15). Spår 1.","Spår 1"
3410,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/01-Goal-setting-and-goal-images-v1neuo.mp3,/woocommerce_uploads/2024/02/01-Goal-setting-and-goal-images-v1neuo.mp3,01-Goal-setting-and-goal-images-v1neuo.mp3,,,"”Spår 1” från Okänt album (2015-06-26 09:22:24). Spår 1.","Spår 1"
3409,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/06-Preparation-for-competition-wed8rq.mp3,/woocommerce_uploads/2024/02/06-Preparation-for-competition-wed8rq.mp3,06-Preparation-for-competition-wed8rq.mp3,,,"”Spår 6” från Okänt album (2015-06-26 09:22:24). Spår 6.","Spår 6"
3408,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/05-Golf-pleasure-and-pleasure-golf-ejcwgt.mp3,/woocommerce_uploads/2024/02/05-Golf-pleasure-and-pleasure-golf-ejcwgt.mp3,05-Golf-pleasure-and-pleasure-golf-ejcwgt.mp3,,,"”Spår 5” från Okänt album (2015-06-26 09:22:24). Spår 5.","Spår 5"
3407,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/04-Problemsolving-and-attituse-training-y59v2h.mp3,/woocommerce_uploads/2024/02/04-Problemsolving-and-attituse-training-y59v2h.mp3,04-Problemsolving-and-attituse-training-y59v2h.mp3,,,"”Spår 4” från Okänt album (2015-06-26 09:22:24). Spår 4.","Spår 4"
3406,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/03-Concentration-training-9kyks7.mp3,/woocommerce_uploads/2024/02/03-Concentration-training-9kyks7.mp3,03-Concentration-training-9kyks7.mp3,,,"”Spår 3” från Okänt album (2015-06-26 09:22:24). Spår 3.","Spår 3"
3405,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/02/02-Preparation-for-a-training-session-axpcwy.mp3,/woocommerce_uploads/2024/02/02-Preparation-for-a-training-session-axpcwy.mp3,02-Preparation-for-a-training-session-axpcwy.mp3,,,"”Spår 2” från Okänt album (2015-06-26 09:22:24). Spår 2.","Spår 2"
3170,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/2-Spagettitar-kby2gg.mp3,/woocommerce_uploads/2024/10/2-Spagettitar-kby2gg.mp3,2-Spagettitar-kby2gg.mp3,,,"”2 Spagettitår”. Släppt: 2022.","2 Spagettitår"
3169,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/1-Avslappning-saetwl.mp3,/woocommerce_uploads/2024/10/1-Avslappning-saetwl.mp3,1-Avslappning-saetwl.mp3,,,"”1 Avslappning”. Släppt: 2022.","1 Avslappning"
3168,https://xn--mentaltrning-ncb.nu/wp-content/uploads/woocommerce_uploads/2024/10/7-Det-basta-jag-vet-khgvuc.mp3,/woocommerce_uploads/2024/10/7-Det-basta-jag-vet-khgvuc.mp3,7-Det-basta-jag-vet-khgvuc.mp3,,,"”7 Det bästa jag vet”. Släppt: 2022.","7 Det bästa jag vet"
